Q28041	Q6ZBZ2|EUKARYA|SP|1	50.00	20	10	3	1	20	1	23	0.0015	18.8
O23349	Q7YSJ4|EUKARYA|SP|0	31.58	19	13	0	1	19	1	19	0.16	16.6
P55056	P11911|EUKARYA|SP|2	44.44	27	15	3	1	29	1	28	0.016	18.6
Q9LS40	Q8T9R8|EUKARYA|SP|0	41.67	24	14	0	1	24	1	24	0.0039	18.8
O75882	P30343|POSITIVE|TAT|2	46.15	26	14	3	1	28	1	27	0.0056	19.0
Q95NH6	Q8MMH0|EUKARYA|SP|3	42.86	21	12	0	1	21	1	21	0.58	16.3
Q04906	Q62867|EUKARYA|SP|4	64.71	17	6	10	1	20	1	24	0.00036	19.4
P12265	P08236|EUKARYA|SP|4	45.45	22	12	0	1	22	1	22	7.9e-06	20.6
Q9C5C2	Q02114|POSITIVE|SP|2	41.67	24	14	4	1	28	1	24	0.14	17.5
Q9LSI9	P97710|EUKARYA|SP|2	39.29	28	17	3	1	28	1	31	6.3e-06	21.5
Q0VCX2	P11021|EUKARYA|SP|4	83.33	18	3	1	1	19	1	18	4.2e-06	20.3
Q9PW56	Q9SR37|EUKARYA|SP|0	43.48	23	13	1	1	23	1	24	0.62	16.6
Q94F62	C0HJZ1|EUKARYA|SP|4	36.00	25	16	0	1	25	1	25	0.0053	18.8
P31415	P19633|EUKARYA|SP|1	79.41	34	7	0	1	34	1	34	1.6e-29	32.9
Q9R0T4	P01817|EUKARYA|SP|3	42.11	19	11	4	1	23	1	19	0.0082	18.1
Q91ZF2	P07154|EUKARYA|SP|3	64.71	17	6	0	1	17	1	17	9.7e-12	23.4
Q6PHS9	Q9D6Y1|EUKARYA|SP|3	44.44	18	10	3	1	18	1	21	4.3e-07	21.1
O60911	P06797|EUKARYA|SP|3	64.71	17	6	0	1	17	1	17	1.3e-06	20.3
P28291	P80325|EUKARYA|SP|2	78.26	23	5	0	1	23	1	23	3.7e-18	27.5
P97272	P13501|EUKARYA|SP|2	78.26	23	5	0	1	23	1	23	1.7e-15	26.3
