Q93LQ6	Q8U0A4|ARCHAEA|LIPO|4	42.86	21	12	0	1	21	1	21	0.1	17.1
Q9WYH1	Q6GEY5|POSITIVE|LIPO|0	52.63	19	9	1	1	20	1	19	0.0055	18.1
Q9WYR4	Q867W1|EUKARYA|SP|2	33.33	27	18	0	1	27	1	27	0.11	17.8
A5IKD4	P80325|EUKARYA|SP|2	42.11	19	11	4	1	19	1	23	0.83	16.1
P27197	O14763|EUKARYA|SP|4	24.07	54	41	3	1	56	1	55	0.36	17.7
A9BJC1	Q8GFE2|POSITIVE|SP|0	57.89	19	8	5	1	19	1	24	0.16	16.9
A0A0H2URK1	Q7BSW5|NEGATIVE|SP|3	36.54	52	33	23	1	72	1	55	0.00049	20.5
P13128	P13128|POSITIVE|SP|0	100.00	18	0	6	1	24	1	18	2.2e-07	21.5
P13423	P19405|POSITIVE|SP|3	44.83	29	16	3	1	29	1	32	0.066	18.2
Q2FVE7	Q9ZDY1|NEGATIVE|LIPO|3	57.89	19	8	1	1	20	1	19	0.4	16.3
P0DTR4	Q2QC88|ARCHAEA|SP|3	38.46	26	16	1	1	27	1	26	0.081	17.8
P14738	P11657|POSITIVE|SP|2	36.11	36	23	2	1	36	1	38	0.007	19.4
P0DQD3	Q9RKQ0|POSITIVE|LIPO|4	44.44	27	15	8	1	30	1	32	0.17	17.8
P0DQD2	Q9RKQ0|POSITIVE|LIPO|4	44.44	27	15	8	1	30	1	32	0.17	17.8
Q74K42	P18278|NEGATIVE|TAT|1	37.14	35	22	1	1	36	1	35	0.7	17.2
P0C216	Q0TV31|POSITIVE|SP|4	96.43	28	1	0	1	28	1	28	2e-43	37.0
Q183R7	P39844|POSITIVE|SP|1	42.31	26	15	3	1	26	1	29	0.0046	19.1
Q0TR53	Q0TV31|POSITIVE|SP|4	42.86	28	16	2	1	30	1	28	0.099	17.8
P08987	Q9HHA8|ARCHAEA|TAT|2	33.33	33	22	1	1	34	1	33	0.17	17.8
P54422	Q9UWR7|ARCHAEA|SP|4	48.15	27	14	3	1	28	1	29	0.027	18.4
Q7A656	P27951|POSITIVE|SP|4	51.35	37	18	3	1	40	1	37	3e-07	22.8
P13470	P36438|EUKARYA|SP|2	26.47	34	25	1	1	34	1	35	0.053	18.4
Q7AP54	P26827|POSITIVE|SP|4	48.15	27	14	1	1	28	1	27	0.065	18.0
